Time,hull Moment Monitor: hull Moment Monitor (N-m),tank Moment Monitor: tank Moment Monitor (N-m),Total Moment Monitor: Total Moment Monitor (N-m)
18.25,-1.93E+09,3.46E+09,1.53E+09
18.3,-2.03E+09,3.33E+09,1.30E+09
18.35,-1.96E+09,3.41E+09,1.45E+09
18.45,-2.08E+09,3.41E+09,1.33E+09
18.5,-1.55E+09,3.32E+09,1.77E+09
18.55,-1.74E+09,3.39E+09,1.65E+09
18.6,-1.64E+09,3.28E+09,1.64E+09
18.65,-1.48E+09,3.37E+09,1.88E+09
18.75,-1.36E+09,3.35E+09,1.98E+09
18.8,-1.34E+09,3.22E+09,1.88E+09
18.85,-1.19E+09,3.32E+09,2.12E+09
18.9,-1.24E+09,3.20E+09,1.96E+09
18.95,-1.05E+09,3.30E+09,2.25E+09
19.05,-9.61E+08,3.28E+09,2.32E+09
19.1,-9.26E+08,3.15E+09,2.23E+09
19.15,-8.27E+08,3.26E+09,2.43E+09
19.2,-8.08E+08,3.13E+09,2.32E+09
19.25,-7.19E+08,3.24E+09,2.52E+09
19.35,-6.32E+08,3.22E+09,2.59E+09
19.4,-5.29E+08,3.09E+09,2.56E+09
19.45,-5.49E+08,3.21E+09,2.66E+09
19.5,-4.28E+08,3.07E+09,2.64E+09
19.6,-4.07E+08,3.04E+09,2.63E+09
19.65,-3.18E+08,3.18E+09,2.86E+09
19.7,-2.89E+08,3.04E+09,2.75E+09
19.75,-2.99E+08,3.17E+09,2.87E+09
19.8,-2.28E+08,3.02E+09,2.80E+09
19.9,-2.25E+08,3.01E+09,2.79E+09
19.95,-1.59E+08,3.16E+09,3.01E+09
20,-1.34E+08,2.99E+09,2.85E+09
20.05,-1.26E+08,3.14E+09,3.01E+09
20.1,-1.35E+08,3.01E+09,2.87E+09
20.2,-1.29E+08,3.00E+09,2.88E+09
20.25,-1.09E+08,3.15E+09,3.04E+09
20.3,-1.62E+08,2.99E+09,2.83E+09
20.35,-1.02E+08,3.14E+09,3.04E+09
20.4,-1.05E+08,3.00E+09,2.90E+09
20.5,-1.62E+08,3.00E+09,2.84E+09
20.55,-1.67E+08,3.15E+09,2.98E+09
20.6,-2.02E+08,3.01E+09,2.81E+09
20.65,-2.45E+08,3.17E+09,2.92E+09
20.75,-2.87E+08,3.16E+09,2.88E+09
20.8,-3.15E+08,3.04E+09,2.72E+09
20.85,-3.72E+08,3.18E+09,2.81E+09
20.9,-3.81E+08,3.05E+09,2.67E+09
20.95,-4.51E+08,3.19E+09,2.74E+09
21.05,-5.32E+08,3.20E+09,2.67E+09
21.1,-6.37E+08,3.09E+09,2.45E+09
21.15,-6.13E+08,3.22E+09,2.61E+09
21.2,-7.43E+08,3.11E+09,2.36E+09
21.25,-7.39E+08,3.25E+09,2.51E+09
21.35,-8.66E+08,3.26E+09,2.39E+09
21.4,-9.51E+08,3.15E+09,2.20E+09
21.45,-9.75E+08,3.28E+09,2.30E+09
21.5,-1.09E+09,3.17E+09,2.08E+09
21.55,-1.08E+09,3.29E+09,2.21E+09
21.65,-1.25E+09,3.32E+09,2.07E+09
21.7,-1.31E+09,3.22E+09,1.91E+09
21.75,-1.41E+09,3.33E+09,1.92E+09
21.8,-1.49E+09,3.26E+09,1.77E+09
21.9,-1.61E+09,3.29E+09,1.68E+09
21.95,-1.76E+09,3.38E+09,1.63E+09
22,-1.82E+09,3.32E+09,1.50E+09
22.05,-1.90E+09,3.42E+09,1.51E+09
22.1,-2.00E+09,3.35E+09,1.35E+09
22.2,-2.17E+09,3.39E+09,1.21E+09
22.25,-2.27E+09,3.47E+09,1.19E+09
22.3,-2.67E+09,3.43E+09,7.59E+08
22.35,-2.53E+09,3.52E+09,9.87E+08
22.4,-3.37E+09,3.52E+09,1.43E+08
22.5,-3.48E+09,3.67E+09,1.96E+08
22.55,-3.35E+09,3.67E+09,3.25E+08
22.6,-3.89E+09,3.63E+09,-2.62E+08
22.65,-3.04E+09,3.64E+09,6.06E+08
22.7,-3.93E+09,3.63E+09,-2.98E+08
22.8,-3.68E+09,3.67E+09,-1.27E+07
